42.34,0.4780,normal
42.23,0.4075,normal
42.11,0.3394,normal
41.96,0.2774,normal
41.82,0.2194,normal
41.71,0.1606,normal
41.56,0.1574,normal
41.43,0.1563,normal
41.28,0.1498,normal
41.11,0.1527,normal
40.97,0.1614,normal
40.81,0.1690,normal
40.69,0.1705,normal
40.60,0.1667,normal
40.48,0.1616,normal
40.36,0.1512,normal
40.23,0.1425,normal
40.09,0.1342,normal
39.96,0.1279,normal
39.85,0.1246,normal
39.74,0.1215,normal
39.63,0.1220,normal
39.49,0.1251,normal
39.33,0.1288,normal
39.16,0.1367,normal
39.00,0.1465,normal
38.84,0.1586,normal
38.71,0.1696,normal
38.59,0.1772,normal
38.48,0.1773,normal
38.36,0.1712,normal
38.26,0.1563,normal
38.15,0.1389,normal
38.04,0.1230,normal
37.92,0.1124,normal
37.80,0.1064,normal
37.67,0.1067,normal
37.53,0.1112,normal
37.39,0.1184,normal
37.28,0.1232,normal
37.15,0.1291,normal
36.99,0.1369,normal
36.88,0.1403,normal
36.80,0.1361,normal
36.71,0.1277,normal
36.58,0.1202,normal
36.46,0.1135,normal
36.34,0.1094,normal
36.25,0.1050,normal
36.17,0.0969,normal
36.06,0.0911,normal
35.96,0.0906,normal
35.88,0.0888,normal
35.79,0.0839,normal
35.71,0.0759,normal
35.62,0.0705,normal
35.52,0.0681,normal
35.42,0.0688,normal
35.32,0.0700,normal
35.27,0.0664,normal
35.21,0.0626,normal
35.15,0.0584,normal
35.05,0.0555,normal
34.98,0.0524,normal
34.90,0.0491,normal
34.80,0.0479,normal
34.69,0.0505,normal
34.60,0.0551,normal
34.49,0.0635,normal
34.37,0.0723,normal
34.26,0.0802,normal
34.18,0.0832,normal
34.11,0.0841,normal
34.04,0.0805,normal
33.96,0.0743,normal
33.87,0.0685,normal
33.79,0.0634,normal
33.69,0.0592,normal
33.62,0.0552,normal
33.51,0.0563,normal
33.37,0.0640,normal
33.23,0.0757,normal
33.13,0.0855,normal
33.04,0.0917,normal
32.97,0.0930,normal
32.91,0.0899,normal
32.85,0.0822,normal
32.76,0.0749,normal
32.70,0.0625,normal
32.66,0.0489,normal
32.60,0.0394,normal
32.53,0.0352,normal
32.45,0.0340,normal
32.37,0.0351,normal
32.29,0.0373,normal
32.22,0.0390,normal
32.15,0.0401,normal
32.06,0.0440,normal
31.97,0.0486,normal
31.91,0.0498,normal
31.85,0.0486,normal
31.80,0.0455,normal
31.72,0.0434,normal
31.64,0.0423,normal
31.58,0.0409,normal
31.56,0.0366,normal
31.49,0.0328,normal
31.42,0.0310,normal
31.35,0.0313,normal
31.28,0.0320,normal
31.21,0.0329,normal
31.13,0.0338,normal
31.08,0.0346,normal
31.04,0.0350,normal
31.00,0.0345,normal
30.94,0.0314,normal
30.86,0.0298,normal
30.77,0.0302,normal
30.69,0.0320,normal
30.63,0.0336,normal
30.56,0.0359,normal
30.50,0.0388,normal
30.43,0.0414,normal
30.40,0.0401,normal
30.35,0.0362,normal
30.28,0.0323,normal
30.21,0.0296,normal
30.14,0.0290,normal
30.06,0.0306,normal
29.99,0.0324,normal
29.92,0.0350,normal
29.84,0.0383,normal
29.78,0.0415,normal
29.74,0.0407,normal
29.68,0.0383,normal
29.64,0.0347,normal
29.58,0.0314,normal
29.53,0.0279,normal
29.47,0.0257,normal
29.42,0.0239,normal
29.37,0.0225,normal
29.31,0.0229,normal
29.27,0.0230,normal
29.21,0.0230,normal
29.16,0.0232,normal
29.11,0.0226,normal
29.07,0.0218,normal
29.01,0.0214,normal
28.96,0.0213,normal
28.90,0.0217,normal
28.84,0.0222,normal
28.77,0.0241,normal
28.72,0.0249,normal
28.68,0.0253,normal
28.63,0.0253,normal
28.58,0.0251,normal
28.53,0.0239,normal
28.49,0.0224,normal
28.44,0.0208,normal
28.39,0.0195,normal
28.36,0.0178,normal
28.32,0.0171,normal
28.27,0.0168,normal
28.22,0.0164,normal
28.17,0.0164,normal
28.12,0.0168,normal
28.07,0.0175,normal
28.02,0.0181,normal
27.98,0.0186,normal
27.94,0.0190,normal
27.89,0.0188,normal
27.86,0.0176,normal
27.83,0.0161,normal
27.79,0.0146,normal
27.76,0.0131,normal
27.73,0.0117,normal
27.67,0.0114,normal
27.60,0.0128,normal
27.56,0.0140,normal
27.50,0.0158,normal
27.44,0.0186,normal
27.41,0.0201,normal
27.37,0.0207,normal
27.33,0.0207,normal
27.30,0.0192,normal
27.25,0.0170,normal
27.21,0.0152,normal
27.18,0.0140,normal
27.13,0.0130,normal
27.10,0.0124,normal
27.07,0.0122,normal
27.02,0.0123,normal
26.98,0.0124,normal
26.93,0.0130,normal
